playsession: 11, date & time: 2023-10-25 15:15:08, Player has shot
playsession: 12, date & time: 2023-10-25 15:18:22, Player has shot
playsession: 12, date & time: 2023-10-25 15:18:23, Player has shot
playsession: 12, date & time: 2023-10-25 15:18:23, Player has shot
playsession: 13, date & time: 2023-10-25 15:19:30, Player has shot
playsession: 13, date & time: 2023-10-25 15:19:31, Player has shot
playsession: 13, date & time: 2023-10-25 15:19:31, Player has shot
playsession: 13, date & time: 2023-10-25 15:19:31, Player has shot
playsession: 13, date & time: 2023-10-25 15:19:32, Player has shot
playsession: 14, date & time: 2023-10-25 15:20:16, Player has shot
playsession: 14, date & time: 2023-10-25 15:20:17, Player has shot
playsession: 14, date & time: 2023-10-25 15:20:18, Player has shot
playsession: 14, date & time: 2023-10-25 15:20:18, Player has shot
playsession: 14, date & time: 2023-10-25 15:20:20, Player has shot
